date,total_loans,no_overdue,overdue_1_30,overdue_31_60,overdue_61_90,overdue_90_plus,total_overdue,npl_ratio_90plus,npl_ratio_30plus,overdue_ratio_all,brent_price,brent_return,vix,vix_innovation,oil_shock
2024-01-01,29853.7103849805,28374.350794127306,386.68476725495,138.42420926354998,90.43875123537,863.81186309929,1479.35959085316,2.8934824246632895,3.660097219097892,4.955362572276545,80.12409090909091,0.031609059344606116,13.388636363636364,-1.3193606847821773,0.7224434399617771
2024-02-01,29415.2,27592.1,691.1,146.2,97.8,888.0,1823.1,3.0188473986238407,3.848350512660121,6.1978160950800945,83.47809523809524,0.041007695695638446,13.980476190476189,-1.0767960555128422,0.9123236517586624
2024-03-01,30168.4,28201.5,691.5,267.1,101.9,906.4,1966.9,3.004468251547977,4.227602391906764,6.5197358825791225,85.4085,0.022861362493781456,13.7875,-1.5782392739948943,0.545714128524263
2024-04-01,30282.9,28418.8,618.9,188.7,128.0,928.7,1864.3,3.0667472401916593,4.112551968272523,6.1562796165492735,89.93809523809524,0.051675975520870665,16.137727272727275,0.8725672251591181,1.127854411441798
2024-05-01,30723.0,28766.4,686.7,179.6,131.7,958.6,1956.6,3.1201380073560525,4.133385411580901,6.368518699345767,81.74619047619048,-0.09550239396644056,13.058695652173913,-3.4314032877758684,-1.8455833221184887
2024-06-01,31244.9,29295.2,612.3,204.2,133.2,1000.0,1949.7,3.2005223252434796,4.28037855778063,6.240058377527212,82.24600000000001,0.006095547232114917,12.667,-2.2183070857084157,0.2069951448407392
2024-07-01,31967.1,29961.1,667.0,208.2,143.1,987.7,2006.0,3.0897391380513093,4.18868148815501,6.27520169173932,85.15304347826087,0.034735392777403895,14.373913043478263,-0.3072421953460722,0.7856046084755607
2024-08-01,32462.416606681894,30389.580931972603,677.5850042505,227.71045750329,147.99869348456,1019.54151947097,2072.83567470932,3.140682752685494,4.298049302255669,6.385340006642198,80.3552380952381,-0.05799286798283454,19.312272727272727,3.741474092197736,-1.0877801183180162
2024-09-01,33024.4,30948.0,660.0,219.0,157.6,1039.8,2076.3999999999996,3.1485810491636483,4.288949988493357,6.287472293213502,74.01666666666667,-0.08216698796861888,17.663333333333334,-0.4813392889282646,-1.5761687367796582
2024-10-01,33359.9,31112.5,815.9,203.2,153.9,1074.4,2247.4,3.220633155375166,4.291080009232641,6.736830745895521,75.63260869565217,0.021597229071669943,19.960869565217394,2.675624462266576,0.5201748999633357
2024-11-01,33755.1897029155,31532.287350389302,734.33978646497,254.11725318482,137.34833086191,1097.09698201508,2222.90235252678,3.250157951031517,4.409877648927091,6.5853647160358975,74.3452380952381,-0.017167898425307193,16.015238095238097,-2.4674833197907695,-0.2629951626437564
2024-12-01,34997.8445906646,32808.0491935651,676.19541172544,233.81876206125,154.07633472702,1125.7048885876002,2189.7953971013103,3.21649776365906,4.324837723805457,6.256943599565046,73.8595,-0.00655498387890141,15.866190476190477,-0.5600670816327931,-0.048582945106216406
