date,total_loans,no_overdue,overdue_1_30,overdue_31_60,overdue_61_90,overdue_90_plus,total_overdue,npl_ratio_90plus,npl_ratio_30plus,overdue_ratio_all
2024-01-01,29853.7103849805,28374.350794127302,386.68476725495003,138.42420926354998,90.43875123536999,863.81186309929,1479.35959085316,2.8934824246632895,3.660097219097892,4.955362572276545
2024-02-01,29415.2,27592.1,691.1,146.2,97.8,888.0,1823.1,3.0188473986238407,3.848350512660121,6.1978160950800945
2024-03-01,30168.4,28201.5,691.5,267.1,101.9,906.4,1966.9,3.004468251547977,4.227602391906764,6.5197358825791225
2024-04-01,30282.9,28418.8,618.9,188.7,128.0,928.7,1864.3,3.0667472401916593,4.112551968272523,6.1562796165492735
2024-05-01,30723.0,28766.4,686.7,179.6,131.7,958.6,1956.6,3.1201380073560525,4.133385411580901,6.368518699345767
2024-06-01,31244.9,29295.2,612.3,204.2,133.2,1000.0,1949.7,3.2005223252434796,4.28037855778063,6.240058377527212
2024-07-01,31967.1,29961.1,667.0,208.2,143.1,987.7,2006.0,3.0897391380513093,4.18868148815501,6.27520169173932
2024-08-01,32462.416606681898,30389.580931972603,677.5850042505,227.71045750329,147.99869348456,1019.54151947097,2072.83567470932,3.140682752685494,4.298049302255669,6.385340006642198
2024-09-01,33024.4,30948.0,660.0,219.0,157.6,1039.8,2076.3999999999996,3.1485810491636483,4.288949988493357,6.287472293213502
2024-10-01,33359.9,31112.5,815.9,203.2,153.9,1074.4,2247.4,3.220633155375166,4.291080009232641,6.736830745895521
2024-11-01,33755.1897029155,31532.287350389302,734.33978646497,254.11725318482002,137.34833086191,1097.09698201508,2222.90235252678,3.250157951031517,4.409877648927091,6.5853647160358975
2024-12-01,34997.8445906646,32808.0491935651,676.19541172544,233.81876206125,154.07633472702,1125.7048885876002,2189.7953971013103,3.21649776365906,4.324837723805457,6.256943599565046
